"","SiO2","TiO2","Al2O3","Fe2O3","MnO","MgO","CaO","Na2O","K2O","P2O5","LOI","okataina"
"1",75.72,0.25,13.49,1.78,0.08,0.32,1.22,4.22,2.89,0.02,3.3,"TRUE"
"2",74.21,0.28,14.91,1.96,0.09,0.32,1.32,4.22,2.65,0.03,4.33,"TRUE"
"3",75.07,0.24,14.1,1.72,0.09,0.31,1.39,4.37,2.68,0.02,3.86,"TRUE"
"4",75.13,0.28,14.09,1.86,0.08,0.31,1.27,4.23,2.73,0.02,3.59,"TRUE"
"5",75.11,0.26,13.96,1.67,0.08,0.4,1.38,4.35,2.77,0.03,3.89,"TRUE"
"6",75.72,0.24,13.37,1.72,0.08,0.29,1.29,4.36,2.9,0.02,3.81,"TRUE"
"7",75.3,0.26,13.7,1.79,0.08,0.31,1.32,4.36,2.85,0.02,4.46,"TRUE"
"8",75.25,0.25,13.88,1.66,0.08,0.4,1.31,4.33,2.82,0.02,4.66,"TRUE"
"9",75.09,0.27,14.11,1.84,0.08,0.31,1.24,4.28,2.73,0.03,4.12,"TRUE"
"10",74.87,0.26,14.58,1.71,0.09,0.39,1.31,4.06,2.7,0.02,4.39,"TRUE"
"11",75.67,0.25,13.46,1.59,0.08,0.4,1.34,4.31,2.87,0.02,3.66,"TRUE"
"12",75.07,0.27,14.01,1.98,0.09,0.25,1.27,4.3,2.75,0.01,3.89,"TRUE"
"13",74.64,0.28,14.38,1.79,0.1,0.4,1.31,4.36,2.73,0.02,5.67,"TRUE"
"14",75.31,0.25,14.01,1.69,0.08,0.28,1.3,4.28,2.78,0.02,4.18,"TRUE"
"15",75.43,0.25,14.08,1.62,0.09,0.4,1.21,4.1,2.78,0.02,4.31,"TRUE"
"16",75.54,0.24,14.06,1.57,0.08,0.37,1.22,4.1,2.81,0.02,4.38,"TRUE"
"17",75.12,0.25,14.03,1.9,0.08,0.26,1.32,4.25,2.75,0.02,3.76,"TRUE"
"18",74.87,0.27,14.19,1.88,0.09,0.25,1.34,4.41,2.68,0.02,3.66,"TRUE"
"19",75.46,0.23,13.92,1.65,0.08,0.3,1.24,4.33,2.77,0.02,3.67,"TRUE"
"20",75.49,0.23,14.07,1.66,0.08,0.27,1.16,4.22,2.79,0.02,4.76,"TRUE"
"21",75.45,0.26,13.78,1.77,0.08,0.31,1.24,4.31,2.76,0.03,3.8,"TRUE"
"22",74.4,0.29,14.82,1.99,0.09,0.34,1.3,4.06,2.67,0.03,4.72,"TRUE"
"23",75.52,0.25,13.74,1.7,0.08,0.3,1.25,4.34,2.78,0.03,4.07,"TRUE"
"24",75.91,0.22,13.42,1.55,0.08,0.27,1.3,4.42,2.8,0.03,4.15,"TRUE"
"25",75.13,0.3,13.64,2.03,0.09,0.34,1.48,4.23,2.7,0.04,4,"TRUE"
"26",75.64,0.24,13.42,1.84,0.08,0.26,1.32,4.36,2.81,0.03,3.15,"TRUE"
"27",75.67,0.24,13.38,1.9,0.08,0.26,1.32,4.32,2.79,0.03,3.96,"TRUE"
"28",76.17,0.22,13.26,1.54,0.08,0.3,1.29,4.24,2.87,0.03,3.74,"TRUE"
