"","Area","Perimeter","MajorAxisLength","MinorAxisLength","AspectRation","Eccentricity","ConvexArea","EquivDiameter","Extent","Solidity","roundness","Compactness","ShapeFactor1","ShapeFactor2","ShapeFactor3","ShapeFactor4","Class"
"12030",32708,"657,63","233,129695","178,91604","1,303011709","0,641105437",33047,"204,0713577","0,756079519","0,989741883","0,95038729","0,875355487","0,007127605","0,002581435","0,766247229","0,998429111","D"
"11754",31590,"649,12","235,0561093","171,3433366","1,371842722","0,68457063",31908,"200,5533276","0,752339899","0,990033847","0,942127128","0,853214699","0,007440839","0,0024324","0,727975323","0,998667649","D"
"3920",59344,"944,279","355,4247825","214,7311272","1,655208479","0,79686796",60734,"274,8802058","0,714893207","0,977113314","0,836346064","0,773385029","0,005989229","0,001321702","0,598124404","0,990020584","C"
"3636",174621,"1591,312","590,5548666","379,9937603","1,554117273","0,765486391",177034,"471,5234486","0,766365599","0,98636985","0,866554056","0,79844139","0,003381924","0,000847844","0,637508653","0,99076321","B"
"7246",63096,"1010,607","402,1450405","202,8656443","1,982322053","0,863435707",64321,"283,4366284","0,708052788","0,980954898","0,776331285","0,704811946","0,006373543","0,000970183","0,496759879","0,984738063","E"
"12482",34550,"742,826","269,6897234","164,1357363","1,643089613","0,793469872",35311,"209,7389479","0,781320669","0,978448642","0,786835096","0,777704635","0,007805781","0,001761387","0,604824499","0,993780852","D"
"1638",43880,"758,336","275,6476871","202,968522","1,35808097","0,676619194",44179,"236,3678303","0,796746196","0,993232079","0,958855439","0,857499777","0,006281852","0,002095094","0,735305868","0,998604906","F"
"12121",33077,"686,259","259,5844138","163,0510137","1,592044158","0,778113837",33560,"205,2192594","0,750045351","0,985607867","0,882591765","0,790568495","0,007847883","0,001890995","0,624998545","0,995025283","D"
"1694",44495,"793,424","296,3986318","191,4147962","1,548462489","0,763505023",45063,"238,0184731","0,787020659","0,987395424","0,888199264","0,803034993","0,006661392","0,001708766","0,6448652","0,998549572","F"
"8263",42429,"762,767","283,3449663","191,3369869","1,480868759","0,737562122",42860,"232,4269361","0,759151906","0,989944004","0,916407994","0,820296684","0,006678097","0,001865161","0,672886649","0,996456817","G"
"10958",28572,"610,194","211,574301","172,6720026","1,225295924","0,577869223",28796,"190,7327981","0,746551003","0,992221142","0,964305491","0,901493221","0,007404952","0,003016837","0,812690027","0,995785778","D"
"648",37240,"695,977","244,7527839","194,0844937","1,261063051","0,609245374",37527,"217,7508683","0,789953757","0,992352173","0,966117082","0,889676779","0,006572309","0,002539959","0,79152477","0,998162642","F"
"8856",45057,"800,592","305,9610158","188,086067","1,6267075","0,788730861",45486,"239,5169183","0,682681818","0,990568527","0,883384234","0,78283476","0,006790532","0,001573128","0,612830261","0,996895582","G"
"6692",55695,"925,046","378,2428911","188,1254524","2,010588607","0,86754036",56281,"266,2950928","0,674910933","0,98958796","0,817898503","0,704031983","0,006791326","0,00102921","0,495661033","0,996570427","E"
"4341",70090,"1026,526","393,1827706","227,4275671","1,728826349","0,815734085",70820,"298,7329237","0,74148127","0,989692177","0,835845515","0,759781318","0,005609684","0,001153115","0,577267651","0,997995526","C"
"8487",43403,"813,743","325,4828757","172,9056423","1,882430622","0,847228853",44425,"235,0795949","0,810922407","0,976994935","0,823673477","0,722248734","0,007499087","0,001258738","0,521643234","0,981957197","G"
"1881",47397,"795,724","276,4688863","218,6554002","1,264404565","0,611963374",47788,"245,6577593","0,778505962","0,99181803","0,940666773","0,888554812","0,005833046","0,002242911","0,789529654","0,998284899","F"
"8511",43515,"791,852","293,7542186","190,5939833","1,541256516","0,760940844",44408,"235,3827071","0,729921498","0,979891011","0,872089015","0,801291325","0,006750643","0,001716669","0,642067788","0,989591161","G"
"4300",69609,"997,88","392,4624072","226,3016669","1,734244438","0,817012481",70137,"297,7061159","0,8035671","0,992471876","0,878453185","0,758559573","0,005638099","0,001151519","0,575412626","0,997906146","C"
"7894",40538,"762,218","294,3286146","176,3989765","1,668539242","0,800504586",40996,"227,1884343","0,825117036","0,988828178","0,876826731","0,77188701","0,007260561","0,001589882","0,595809556","0,994131625","G"
"3744",187588,"1654,357","593,1580854","405,8803103","1,461411333","0,729228705",189950,"488,7171572","0,716110462","0,987565149","0,861303973","0,823923958","0,003162026","0,000898863","0,678850688","0,992080089","B"
"10964",28597,"622,214","222,4268376","164,0193755","1,356100991","0,67544736",28969,"190,8162238","0,802384961","0,987158687","0,928219702","0,857883095","0,007777978","0,002598717","0,735963404","0,998040702","D"
"1445",42057,"752,331","257,0122847","208,6563418","1,231749212","0,583861092",42501,"231,4057811","0,760579427","0,989553187","0,933749193","0,900368562","0,006111047","0,002477289","0,810663547","0,998534186","F"
"4052",65019,"985,505","384,2500817","217,5845569","1,765980487","0,824228275",66378,"287,7234123","0,780380955","0,979526349","0,841264351","0,748792065","0,005909812","0,001146036","0,560689557","0,990166817","C"
"9163",46442,"815,309","306,4451574","193,4824767","1,583839336","0,775475897",47004,"243,1702921","0,723395639","0,988043571","0,877963185","0,793519774","0,006598449","0,001613811","0,629673632","0,997301867","G"
"4788",76106,"1067,897","424,8176138","229,6271897","1,850031847","0,841323947",76853,"311,2895257","0,681953405","0,990280145","0,838629293","0,732760403","0,00558192","0,000992685","0,536937808","0,993352044","C"
"8249",42370,"767,68","291,2183681","185,8198785","1,567207827","0,769972173",42854,"232,2652783","0,78550241","0,988705838","0,903457808","0,797563972","0,006873221","0,001715545","0,636108289","0,99691389","G"
"6738",56248,"946,999","378,6123592","190,3582327","1,988946598","0,864415161",56917,"267,6138597","0,604232463","0,988246042","0,788166384","0,706828114","0,006731126","0,001036389","0,499605982","0,993689619","E"
"11190",29551,"636,078","231,8799753","162,6597673","1,425552115","0,712686583",29924,"193,9729409","0,761466708","0,987535089","0,917827986","0,836523036","0,007846773","0,002370186","0,699770789","0,997559729","D"
"7477",35561,"708,141","259,7683482","174,8105517","1,485999247","0,739689928",36021,"212,7855057","0,793648314","0,987229672","0,89113674","0,819135615","0,007304866","0,002028688","0,670983156","0,997080465","G"
"9325",47265,"818,126","310,7049897","194,391997","1,598342496","0,780105386",47798,"245,315444","0,784221005","0,988848906","0,887378979","0,789544591","0,00657368","0,001575778","0,623380661","0,996375802","G"
"13046",37367,"710,338","265,2768443","179,71006","1,476137976","0,73557486",37695,"218,1218514","0,726193252","0,991298581","0,93061061","0,822242333","0,007099228","0,00200166","0,676082455","0,997990987","D"
"13392",39623,"732,44","272,911589","185,141091","1,47407357","0,734699962",39933,"224,6098183","0,789932217","0,992236997","0,928139189","0,82301312","0,006887706","0,001949312","0,677350595","0,99846461","D"
"7187",61684,"984,878","412,1156482","191,4732795","2,15234026","0,885515123",62303,"280,2472267","0,784723812","0,990064684","0,799130156","0,680020834","0,006681079","0,000881283","0,462428334","0,995303121","E"
"2752",70692,"1006,43","378,5744663","238,1779057","1,589460891","0,777288656",71443,"300,0130829","0,787865279","0,989488123","0,877027043","0,79248103","0,005355266","0,001302916","0,628026183","0,998223056","A"
"1622",43701,"770,263","276,4757779","201,4840559","1,372196806","0,684770867",44144,"235,8852292","0,743290132","0,989964661","0,925599615","0,853185878","0,006326532","0,002067855","0,727926142","0,998857927","F"
"1826",46137,"784,568","272,4072947","215,9622903","1,261365094","0,609492445",46611,"242,3704868","0,770182292","0,989830727","0,941885333","0,88973567","0,005904313","0,002282407","0,791629562","0,998533897","F"
